id,name,party,partyLabel,votes
Q27979810,Caroline Johnson,Q9626,Conservative Party (UK),17570
,Victoria Ayling,Q10647,UK Independence Party,4426
,Ross Pepper,Q9624,Liberal Democrats (UK),3606
,Jim Clarke,Q9630,Labour Party (UK),3363
,Marianne Overton,Q6551253,Lincolnshire Independents,2892
,Sarah Stock,Q327591,Independent politician,462
,The Iconic Arty-Pole,Q1421227,Official Monster Raving Loony Party,200
,Paul Coyne,,,186
,Mark Suffield,,,74
,David Bishop,Q5117994,Bus Pass Elvis Party,55
